supplier_name,product_name,unit_pack_info
,Fay Cling Film 45cm x 300m,
,Fay Facial 80s Pink,
,Fay Facial 80s White,
,Fay Facial Decor Art 140s Black,
,Fay Facial Decor Art 140s Silver,
,Fay Multifold H/Towels 1ply 12X240shts,
,Fay Multifold H/Towels Adv Quilted 1ply 12X200shts,
,Fay Sensitive Wet Wipes 72X16 V,
,Fay Serviette 1ply 60 x 100 White,
,Fay Serviette Dinner 1ply 48 x 50 White,
,Fay Tissue P Unwrap Twinpack 20 x 2s White,
,Fay Tissue P Wrap 40s Singles White,
,Fay Tp Unwrap 4 x 10s White,
,Fay Tp Unwrap 6 X8s White,
,Huggies Extra Care Gold No 4 40s x 2,
,Kleenex Facial 140s White,
,Kleenex Facial 80s Pink,
,Kleenex Facial 80s White,
